t_date,cust_id,t_amt,services,products_used,city,state,t_details
06-26-2015,4007024,40.33,Exercise & Fitness,Cardio Machine Accessories,Clarksville,Tennessee,credit
05-26-2015,4006742,198.44,Exercise & Fitness,Weightlifting Gloves,Long Beach,California,credit
06-01-2015,4009775,5.58,Exercise & Fitness,Weightlifting Machine Accessories,Anaheim,California,credit
06-05-2015,4002199,198.19,Gymnastics,Gymnastics Rings,Milwaukee,Wisconsin,credit
12-17-2015,4002613,98.81,Team Sports,Field Hockey,Nashville  ,Tennessee,credit
02-14-2015,4007591,193.63,Outdoor Recreation,Camping & Backpacking & Hiking,Chicago,Illinois,credit
10-28-2015,4002190,27.89,Puzzles,Jigsaw Puzzles,Charleston,South Carolina,credit
07-14-2015,4002964,96.01,Outdoor Play Equipment,Sandboxes,Columbus,Ohio,credit
01-17-2015,4007361,10.44,Winter Sports,Snowmobiling,Des Moines,Iowa,credit
05-17-2015,4004798,152.46,Jumping,Bungee Jumping,St. Petersburg,Florida,credit
05-29-2015,4004646,180.28,Outdoor Recreation,Archery,Reno,Nevada,credit
06-18-2015,4008071,121.39,Outdoor Play Equipment,Swing Sets,Columbus,Ohio,credit
02-08-2015,4002473,41.52,Indoor Games,Bowling,San Francisco,California,credit
03-13-2015,4003268,107.8,Team Sports,Field Hockey,Honolulu  ,Hawaii,credit
02-25-2015,4004613,36.81,Gymnastics,Vaulting Horses,Los Angeles,California,credit
10-20-2015,4003179,137.64,Combat Sports,Fencing,Honolulu  ,Hawaii,credit
05-28-2015,4009135,35.56,Exercise & Fitness,Free Weight Bars,Columbia,South Carolina,credit
10-18-2015,4006679,75.55,Water Sports,Scuba Diving & Snorkeling,Omaha,Nebraska,credit
11-18-2015,4002444,88.65,Team Sports,Baseball,Salt Lake City,Utah,credit
08-28-2015,4008871,51.81,Water Sports,Life Jackets,Newark,New Jersey,credit
06-29-2015,4001364,41.55,Exercise & Fitness,Weightlifting Belts,New Orleans,Louisiana,credit
02-14-2015,4003144,45.79,Air Sports,Parachutes,New York,New York,credit
10-10-2015,4006131,19.64,Water Sports,Kitesurfing,Saint Paul,Minnesota,credit
05-02-2015,4007596,99.5,Gymnastics,Gymnastics Rings,Springfield,Illinois,credit
06-10-2015,4009341,151.2,Water Sports,Surfing,Plano,Texas,credit
10-14-2015,4003760,144.2,Indoor Games,Darts,Phoenix,Arizona,credit
10-11-2015,4000403,31.58,Combat Sports,Wrestling,Orange,California,credit
09-29-2015,4005211,66.4,Games,Mahjong,Fremont,California,credit
05-12-2015,4001864,79.78,Team Sports,Cricket,Lexington,Kentucky,credit
06-03-2015,4005691,126.9,Outdoor Recreation,Hunting,Phoenix,Arizona,credit
03-14-2015,4009693,47.05,Water Sports,Swimming,Lincoln,Nebraska,credit
11-28-2015,4002130,5.03,Games,Dice & Dice Sets,Los Angeles,California,credit
01-29-2015,4007790,20.13,Team Sports,Soccer,Springfield,Illinois,credit
06-15-2015,4005337,154.15,Outdoor Recreation,Lawn Games,Nashville  ,Tennessee,credit
05-06-2015,4000663,98.96,Team Sports,Indoor Volleyball,Atlanta,Georgia,credit
04-12-2015,4006967,185.26,Games,Board Games,Centennial,Colorado,credit
10-13-2015,4009055,35.66,Team Sports,Football,Saint Paul,Minnesota,credit
04-19-2015,4005737,20.2,Outdoor Recreation,Shooting Games,San Diego,California,credit
08-05-2015,4000175,150.6,Outdoor Recreation,Camping & Backpacking & Hiking,Hampton  ,Virginia,credit
03-12-2015,4001873,174.36,Outdoor Play Equipment,Swing Sets,Pittsburgh,Pennsylvania,credit
11-07-2015,4006442,165.1,Team Sports,Cheerleading,Reno,Nevada,credit
04-16-2015,4004237,28.11,Indoor Games,Bowling,Westminster,Colorado,cash
09-10-2015,4007470,38.52,Outdoor Recreation,Tetherball,Denton,Texas,cash
04-22-2015,4002554,32.34,Water Sports,Water Polo,Las Vegas,Nevada,cash
09-11-2015,4001041,135.37,Water Sports,Surfing,Seattle,Washington,credit
11-27-2015,4005646,90.04,Exercise & Fitness,Abdominal Equipment,Honolulu  ,Hawaii,credit
05-27-2015,4005580,52.29,Gymnastics,Vaulting Horses,Cleveland,Ohio,credit
10-23-2015,4009698,100.1,Outdoor Play Equipment,Swing Sets,Everett,Washington,credit
09-27-2015,4009252,157.94,Exercise & Fitness,Exercise Bands,Philadelphia,Pennsylvania,credit
07-12-2015,4003896,144.59,Jumping,Jumping Stilts,Cambridge,Massachusetts,credit
10-20-2015,4005578,55.93,Jumping,Pogo Sticks,Everett,Washington,credit
02-17-2015,4002323,32.65,Water Sports,Life Jackets,Columbus,Georgia,cash
02-04-2015,4008289,44.82,Outdoor Play Equipment,Lawn Water Slides,Hampton  ,Virginia,cash
06-12-2015,4003091,44.46,Water Sports,Scuba Diving & Snorkeling,Charleston,South Carolina,cash
10-03-2015,4007357,154.87,Outdoor Recreation,Running,Long Beach,California,credit
12-16-2015,4004961,106.11,Water Sports,Swimming,New York,New York,credit
06-21-2015,4008744,176.63,Outdoor Recreation,Geocaching,Boston,Massachusetts,credit
12-20-2015,4007745,178.2,Outdoor Recreation,Skating,San Jose,California,credit
12-29-2015,4003248,194.86,Water Sports,Windsurfing,Oklahoma City,Oklahoma,credit
11-07-2015,4002854,21.43,Winter Sports,Snowboarding,Philadelphia,Pennsylvania,cash
04-23-2015,4004874,118.18,Exercise & Fitness,Cardio Machine Accessories,Richmond  ,Virginia,credit
02-16-2015,4009680,41.14,Exercise & Fitness,Weightlifting Machine Accessories,Phoenix,Arizona,cash
04-23-2015,4000539,100.93,Team Sports,Beach Volleyball,Columbia,Missouri,credit
11-25-2015,4009719,129.26,Winter Sports,Downhill Skiing,Orlando,Florida,credit
09-28-2015,4008455,105.24,Exercise & Fitness,Weightlifting Machine Accessories,Nashville  ,Tennessee,credit
12-12-2015,4005887,66.06,Outdoor Recreation,Riding Scooters,Jackson,Mississippi,credit
02-05-2015,4006293,89.14,Outdoor Recreation,Tetherball,Gresham,Oregon,credit
10-10-2015,4002526,159.14,Games,Poker Chips & Sets,Las Vegas,Nevada,credit
05-04-2015,4006736,171.57,Dancing,Ballet Bars,Minneapolis,Minnesota,credit
05-12-2015,4005403,89.91,Team Sports,Softball,Denton,Texas,credit
05-13-2015,4006291,32.28,Outdoor Recreation,Skating,Salt Lake City,Utah,cash
01-26-2015,4009360,152.21,Team Sports,Cricket,Portland,Oregon,credit
01-04-2015,4001305,150.82,Outdoor Recreation,Skateboarding,Denver  ,Colorado,credit
05-20-2015,4008653,133.2,Outdoor Recreation,Riding Scooters,Jackson,Mississippi,credit
10-27-2015,4002106,148.31,Games,Portable Electronic Games,Pasadena,California,credit
11-19-2015,4006262,125.28,Combat Sports,Wrestling,Denton,Texas,credit
07-26-2015,4003860,170.05,Jumping,Trampolines,Charleston,South Carolina,credit
10-07-2015,4000458,74.06,Puzzles,Jigsaw Puzzles,Jacksonville ,Florida,credit
06-03-2015,4002200,175.24,Team Sports,Baseball,Cleveland,Ohio,credit
08-04-2015,4005751,39.8,Gymnastics,Springboards,St. Louis  ,Missouri,cash
10-05-2015,4005625,174.82,Outdoor Recreation,Ice Climbing,Eugene,Oregon,credit
03-08-2015,4003500,188.9,Water Sports,Swimming,San Jose,California,credit
01-16-2015,4001098,21.23,Gymnastics,Gymnastics Rings,Tampa,Florida,cash
12-23-2015,4007259,22.42,Outdoor Recreation,Rock Climbing,Hampton  ,Virginia,cash
05-31-2015,4000293,49.97,Exercise & Fitness,Stopwatches,Clarksville,Tennessee,cash
10-17-2015,4008024,31.84,Water Sports,Swimming,Saint Paul,Minnesota,cash
06-15-2015,4008884,80.99,Outdoor Recreation,Tetherball,Orange,California,credit
06-05-2015,4001050,89.56,Gymnastics,Gymnastics Mats,West Valley City,Utah,credit
07-05-2015,4003309,55.35,Water Sports,Towed Water Sports,Lincoln,Nebraska,credit
05-18-2015,4001561,184.56,Team Sports,Cheerleading,Plano,Texas,credit
01-02-2015,4009270,176.34,Air Sports,Parachutes,San Antonio,Texas,credit
02-28-2015,4002697,35.75,Outdoor Recreation,Running,Flint,Michigan,cash
09-19-2015,4008469,42.51,Team Sports,Team Handball,Oklahoma City,Oklahoma,cash
02-01-2015,4006425,193.11,Winter Sports,Sledding,Irvine,California,credit
08-03-2015,4005513,68.86,Jumping,Jumping Stilts,Green Bay,Wisconsin,credit
07-04-2015,4004611,146.36,Water Sports,Whitewater Rafting,Hampton  ,Virginia,credit
10-24-2015,4005227,130.52,Exercise & Fitness,Medicine Balls,Las Vegas,Nevada,credit
10-07-2015,4002299,197.54,Exercise & Fitness,Exercise Balls,Plano,Texas,credit
09-04-2015,4002707,5.95,Games,Dominoes,Lincoln,Nebraska,cash
10-10-2015,4006562,37.29,Outdoor Play Equipment,Lawn Water Slides,Dallas,Texas,cash
11-23-2015,4001939,182.82,Outdoor Play Equipment,Water Tables,Miami,Florida,credit
11-09-2015,4000918,119.77,Jumping,Pogo Sticks,Brownsville,Texas,credit
01-09-2015,4001286,59.39,Outdoor Recreation,Equestrian,Chattanooga,Tennessee,credit
07-06-2015,4001839,54.36,Dancing,Ballet Bars,Rockford,Illinois,credit
03-02-2015,4001237,41.74,Games,Portable Electronic Games,Irving,Texas,credit
12-24-2015,4003044,88.87,Winter Sports,Downhill Skiing,Irvine,California,credit
10-07-2015,4007842,145.65,Gymnastics,Pommel Horses,Chattanooga,Tennessee,credit
01-01-2015,4006017,177.45,Games,Dice & Dice Sets,Orange,California,credit
03-20-2015,4007549,78.02,Games,Dice Games,Saint Paul,Minnesota,credit
12-15-2015,4002154,52.55,Outdoor Recreation,Camping & Backpacking & Hiking,Paterson,New Jersey,credit
04-18-2015,4001165,197.47,Exercise & Fitness,Medicine Balls,Charleston,South Carolina,credit
03-05-2015,4000401,173.56,Gymnastics,Gymnastics Protective Gear,Portland,Oregon,credit
